@relation TrainingData

@attribute text string
@attribute class {FAKE, REAL}

@data
"Statistical Propaganda: How many Syrians has US regime-change killed?", FAKE
"'Russia has no intention of attacking anyone -this is absurd,' says Vladimir Putin", FAKE
"Trump, Clinton trade blows on terror and guns in wake of Orlando attack", REAL
"Clinton clearing primary field for potential 2016 run could leave her vulnerable", REAL
"What Brian Williams’s Chopper Whopper Says About Modern News Media", REAL
"The Rise of Mandatory Vaccinations Means the End of Medical Freedom", FAKE
"Jeb Bush loses TV ad edge to Marco Rubio", REAL
"How come the US keeps killing ISIS No. 2s?", REAL
"Assange tells the sordid truth about the US elections", FAKE
"FOX: Latinos Are Already CRUSHING Trump At The Polls", FAKE
"Christie Lost Republicans The 2012 Election. He May Be Losing Them The 2016 Election, Too.", FAKE
"Football Follies 2016: NCAA Week 9", FAKE
"Some Cities Want Their Noncitizen Immigrants to Vote", FAKE
"Isis Leader ‘hiding in Mosul’ as Troops Storm Iraqi City", FAKE
"Trump: Israel is a ray of hope to the world", FAKE
"Donald Trump’s avenging angels: How the orange-haired monster has rewritten the history of American conservatism", REAL
"Ex-rep: 'If Trump loses, I'm grabbing my musket'", FAKE
"Clinton doubles down on disputed claim FBI found her email remarks 'truthful'", REAL
"Why many black voters aren't flocking to Bernie Sanders", REAL
"On Capitol Hill, deep skepticism persists as lawmakers react to Iran deal", REAL
"Defying the Politics of Fear   :", FAKE
"Ballot stuffing by fat obese feminazis", FAKE
"Under the Surface - Naomi Klein and the Great Barrier Reef", FAKE
"Yes, Bernie Sanders is not a Democrat — and Hillary represents the very worst of the party", REAL
"Someone broke a Skype spam bot by typing an emoji and the transcript is what happens when robots go mad", FAKE
"Megyn Kelly Special: Trump defends tone, says bid will be ‘complete waste’ if he doesn’t win", REAL
"Understanding Propaganda - The Art Of Distraction And Disinformation", FAKE
"Is the Fed Fix in for the election?", FAKE
"Why does ISIS keep making enemies?", REAL
"Yes, Black America fears the police. Here’s why.", REAL
"Clinton holds narrow lead over Trump on eve of conventions", REAL
"Can Huckabee Overcome The 'New Car Smell' Of Other Candidates?", REAL
"Here's How Inflation Has Eroded American Workers' Overtime Eligibility", REAL
"As His Campaign Crumbles, Trump Is Spending His Day Fighting With MSNBC's Joe Scarborough", REAL
"Comment on “I’m the Law Today N**ga” — Cop Fired After Using Social Media to Declare Her Racism by Albert Wesker", FAKE
"Trump Reaches Out to Blacks, Blacks Riot in Philadelphia", FAKE
"Kentucky Sen. Rand Paul suspends presidential campaign", REAL
"British firm aims to open immigration detention center near US-Mexico border", REAL
"Hillary Clinton Maintains Swing State Leads As Comey Email Letter Flops", FAKE
"New Player in the ISIS War: Christian Gazillionaire Foster Friess", REAL
"The Dark Agenda Behind Globalism And Open Borders", FAKE
"U.S. secretly tracked billions of calls for decades", REAL
"Kasich: Bush's campaign is 'freaking out'", REAL
"Burnt homes and broken promises: the Jungle evicted", FAKE
"The Week That Hillary Clinton 2016 Speculation Moved From Trickle To Stream", REAL
"Why Obama is changing tune on pulling troops from Afghanistan", REAL
"When Will It End? Police Clash with Pipeline Protesters", FAKE
"Donald Trump claims the election will be 'rigged' — and critics have called that preposterous and dangerous", FAKE
"Police across the country are being equipped with ‘Christian’ facial recognition cameras", FAKE
"Cruz, Trump and Rubio win in Iowa. And now we know who the losers are, too...", REAL
"“We won, you lost, get over it” Brexiters told outside High Court", FAKE
"Dakota Access v Human Rights", FAKE
"New Senate is just like the old Senate", REAL
"The USA Era (1945 - 2008) in Retrospect", FAKE
"LISTEN: Clinton ‘Crime Family’ EXPOSED By Veteran FBI Assistant Director", FAKE
